"id","score","title","summary","venue","year","authors","citationCount","referenceCount","influentialCitationCount","url"
"a9c75897fb20bcd82fec81098942e978792d711d",5,"SMRTer Chatbots: Improving Non-Task-Oriented Dialog with Simulated Multi-Reference Training","Simulated Multiple Reference Training is comparable to pretraining in human evaluation quality, and outperforms pretraining on automatic quality and lexical diversity, without requiring related-domain dialog data.","Findings",2020,"Huda Khayrallah,João Sedoc",1,45,0,"https://www.semanticscholar.org/paper/a9c75897fb20bcd82fec81098942e978792d711d"
"9a94f76174a61421b7d5eb24cb7a91dc5571ad09",4,"The circle of meaning: from translation to paraphrasing and back","It is claimed that the sentential paraphraser, once built in this fashion, can provide a solution to the reference sparsity problem and, hence, be used to improve the performance a bilingual SMT system.","",2010,"N. Madnani,B. Dorr",22,183,1,"https://www.semanticscholar.org/paper/9a94f76174a61421b7d5eb24cb7a91dc5571ad09"
"338a02fc3bb505a21ddcab4fd5c33e6c5bee9b10",4,"Examining Linguistic Characteristics of Paraphrase in Test-Taker Summaries. Research Report. ETS RR-12-18.","","",2012,"J. Burstein,Michael Flor,J. Tetreault,Nitin Madnani,Steven Holtzman",3,28,0,"https://www.semanticscholar.org/paper/338a02fc3bb505a21ddcab4fd5c33e6c5bee9b10"
"27a0e99fa23e39418836e777fc92f5101b5e8031",4,"Transliteration normalization for Information Extraction and Machine Translation","This work aims to identify and cluster name spelling variants using a Statistical Machine Translation method: word alignment, which results in tens of thousands of high-precision name transliteration spelling variants being extracted from sentence-aligned bilingual corpora in Arabic and English.","Journal of King Saud University: Computer and Information Sciences",2014,"Yuval Marton,I. Zitouni",7,59,0,"https://www.semanticscholar.org/paper/27a0e99fa23e39418836e777fc92f5101b5e8031"
"01508f386eb2ca5181fde7bb6da4920e250d7498",3,"Automatic Machine Translation Evaluation in Many Languages via Zero-Shot Paraphrasing","This work proposes the use of a sequence-to-sequence paraphraser for automatic machine translation evaluation, and finds that the model conditioned on the source instead of the reference outperforms every quality estimation as a metric system from the WMT19 shared task on quality estimation by a statistically significant margin in every language pair.","Conference on Empirical Methods in Natural Language Processing",2020,"Brian Thompson,Matt Post",91,97,22,"https://www.semanticscholar.org/paper/01508f386eb2ca5181fde7bb6da4920e250d7498"
"7e7653bf2f4e2cf9a416d8908f37a69696e746d2",3,"Explicit Representation of the Translation Space: Automatic Paraphrasing for Machine Translation Evaluation","This work assesses the feasibility of improving BLEU using state-of-the-art neural paraphrasing techniques to generate additional references and explores the extent to which diverse paraphrases can adequately cover the space of valid translations and an alternative approach of generating paraphrase constrained by MT outputs.","arXiv.org",2020,"Rachel Bawden,Biao Zhang,Lisa Yankovskaya,Andre Tattar,Matt Post",1,47,0,"https://www.semanticscholar.org/paper/7e7653bf2f4e2cf9a416d8908f37a69696e746d2"
"0b961b15cd4151174daaf0019d8dd2ab54ae1309",3,"A Study in Improving BLEU Reference Coverage with Diverse Automatic Paraphrasing","It is shown that using paraphrased references does generally improve BLEU, and when it does, the more diverse the better, but it is also shown that better results could be achieved if those paraphrases were to specifically target the parts of the space most relevant to the MT outputs being evaluated.","Findings",2020,"Rachel Bawden,Biao Zhang,Lisa Yankovskaya,Andre Tattar,Matt Post",11,37,0,"https://www.semanticscholar.org/paper/0b961b15cd4151174daaf0019d8dd2ab54ae1309"
"9d9cfb42b4eb22cf945e5e59c21160ee5a9149a9",3,"Fine-Grained Linguistic Soft Constraints on Statistical Natural Language Processing Models","This dissertation gainfully applies fine-grained linguistic soft constraints - of syntactic or semantic nature - on statistical NLP models, evaluated in end-to-end state-of-the-art statistical machine translation (SMT) systems.","",2009,"Yuval Marton",4,162,0,"https://www.semanticscholar.org/paper/9d9cfb42b4eb22cf945e5e59c21160ee5a9149a9"
"bb56b7f09ef7fa4f4741b6bcbd4ffb7ea6c828c4",3,"A Survey of Paraphrasing and Textual Entailment Methods","Key ideas from the two areas of paraphrasing and textual entailment are summarized by considering in turn recognition, generation, and extraction methods, also pointing to prominent articles and resources.","Journal of Artificial Intelligence Research",2009,"Ion Androutsopoulos,Prodromos Malakasiotis",448,264,24,"https://www.semanticscholar.org/paper/bb56b7f09ef7fa4f4741b6bcbd4ffb7ea6c828c4"
"9c4af1ae3a94507d6fabd1af2ec786a74f8d35e3",3,"Paraphrasing Training Data for Statistical Machine Translation","This paper shows how training data can be expanded by paraphrasing one side of a parallel corpus by parsing then generating using an open-source, precise HPSG-based grammar, and shows consistent, statistically-significant gains on training data sets.","",2010,"Eric Nichols,Francis Bond,D. S. Appling,Yuji Matsumoto",8,37,2,"https://www.semanticscholar.org/paper/9c4af1ae3a94507d6fabd1af2ec786a74f8d35e3"
